record_id	probe_id	probe_timestamp	server_timestamp	temp_rtc	temp_bmp	press_bmp	temp_htu	hum_htu	temp_ds18b20	rssi	charge	vacc	spc	sta0
31811	7	1999-12-31 17:03:00	2021-03-01 12:33:48	25,5	24,8700008392334	745,0999755859375	25,190000534057617	5,739999771118164	-127,0	-92	94	0,0	0,0	
31810	7	1999-12-31 17:03:00	2021-03-01 12:33:45	25,5	24,93000030517578	745,0999755859375	25,15999984741211	5,679999828338623	-127,0	-92	94	0,0	0,0	
31809	7	1999-12-31 17:03:00	2021-03-01 12:33:42	25,5	24,950000762939453	745,0999755859375	25,209999084472656	5,78000020980835	-127,0	-92	94	0,0	0,0	
31808	7	1999-12-31 17:03:00	2021-03-01 12:33:39	25,75	24,969999313354492	745,2000122070312	25,280000686645508	5,829999923706055	-127,0	-93	94	0,0	0,0	
31812	7	1999-12-31 17:03:00	2021-03-01 12:33:51	25,5	24,84000015258789	745,0999755859375	25,1200008392334	5,760000228881836	-127,0	-92	94	0,0	0,0	
31829	7	1999-12-31 17:04:00	2021-03-01 12:34:39	25,0	24,739999771118164	745,0999755859375	24,829999923706055	6,909999847412109	-127,0	-92	94	0,0	0,0	
31830	7	1999-12-31 17:04:00	2021-03-01 12:34:42	25,0	24,729999542236328	745,0999755859375	24,81999969482422	6,340000152587891	-127,0	-93	94	0,0	0,0	
31831	7	1999-12-31 17:04:00	2021-03-01 12:34:45	25,0	24,709999084472656	745,0999755859375	24,790000915527344	6,190000057220459	-127,0	-93	94	0,0	0,0	
127643	7	1999-12-31 17:06:00	2021-10-26 10:50:06	28,0	0,0	0,0	27,8700008392334	19,969999313354492	-127,0	-112	104	4,380000114440918	42,22999954223633	[20.75, 23.18000030517578, 26.309999465942383, 24.25, 23.75, 22.68000030517578, 23.0, 22.809999465942383, 23.8700008392334, 23.0]
31838	7	2021-03-01 12:37:00	2021-03-01 12:38:20	26,25	23,780000686645508	745,0999755859375	24,979999542236328	6,449999809265137	-127,0	-76	94	0,0	0,0	
31837	7	2021-03-01 12:37:00	2021-03-01 12:38:17	26,25	23,790000915527344	745,0999755859375	24,979999542236328	6,429999828338623	-127,0	-76	94	0,0	0,0	
31839	7	2021-03-01 12:37:00	2021-03-01 12:38:23	26,0	23,780000686645508	745,0999755859375	25,0	6,380000114440918	-127,0	-76	94	0,0	0,0	
31852	7	2021-03-01 12:38:00	2021-03-01 12:39:57	25,25	24,0	745,0999755859375	24,459999084472656	6,639999866485596	-127,0	-91	94	0,0	0,0	
31853	7	2021-03-01 12:38:00	2021-03-01 12:40:00	25,0	24,010000228881836	745,0999755859375	24,489999771118164	6,650000095367432	-127,0	-90	94	0,0	0,0	
31845	7	2021-03-01 12:38:00	2021-03-01 12:39:36	25,5	23,889999389648438	745,0999755859375	24,469999313354492	7,099999904632568	-127,0	-92	94	0,0	0,0	
31846	7	2021-03-01 12:38:00	2021-03-01 12:39:39	25,25	23,920000076293945	745,0999755859375	24,510000228881836	6,869999885559082	-127,0	-91	94	0,0	0,0	
31847	7	2021-03-01 12:38:00	2021-03-01 12:39:42	25,25	23,920000076293945	745,0999755859375	24,469999313354492	6,789999961853027	-127,0	-91	94	0,0	0,0	
31848	7	2021-03-01 12:38:00	2021-03-01 12:39:47	25,25	23,93000030517578	745,2000122070312	24,450000762939453	6,679999828338623	-127,0	-91	94	0,0	0,0	
31849	7	2021-03-01 12:38:00	2021-03-01 12:39:48	25,25	23,959999084472656	745,2000122070312	24,479999542236328	6,679999828338623	-127,0	-91	94	0,0	0,0	
31850	7	2021-03-01 12:38:00	2021-03-01 12:39:51	25,25	23,959999084472656	745,0999755859375	24,510000228881836	6,679999828338623	-127,0	-91	94	0,0	0,0	
31851	7	2021-03-01 12:38:00	2021-03-01 12:39:54	25,25	23,979999542236328	745,0999755859375	24,479999542236328	6,670000076293945	-127,0	-91	94	0,0	0,0	
31841	7	2021-03-01 12:38:00	2021-03-01 12:39:24	25,5	23,84000015258789	745,0999755859375	24,399999618530273	7,489999771118164	-127,0	-93	94	0,0	0,0	
31842	7	2021-03-01 12:38:00	2021-03-01 12:39:30	25,25	23,84000015258789	745,0999755859375	24,469999313354492	7,539999961853027	-127,0	-93	94	0,0	0,0	
31843	7	2021-03-01 12:38:00	2021-03-01 12:39:30	25,25	23,850000381469727	745,0999755859375	24,479999542236328	7,760000228881836	-127,0	-94	94	0,0	0,0	
31844	7	2021-03-01 12:38:00	2021-03-01 12:39:33	25,5	23,8700008392334	745,0999755859375	24,469999313354492	7,420000076293945	-127,0	-92	94	0,0	0,0	
31866	7	2021-03-01 12:39:00	2021-03-01 12:40:39	25,0	23,56999969482422	744,5999755859375	24,450000762939453	7,510000228881836	-127,0	-83	94	0,0	0,0	
31867	7	2021-03-01 12:39:00	2021-03-01 12:40:42	25,0	23,579999923706055	744,5999755859375	24,399999618530273	8,640000343322754	-127,0	-82	94	0,0	0,0	
31868	7	2021-03-01 12:39:00	2021-03-01 12:40:45	25,0	23,559999465942383	744,5999755859375	24,329999923706055	7,46999979019165	-127,0	-82	94	0,0	0,0	
31869	7	2021-03-01 12:39:00	2021-03-01 12:40:48	25,0	23,56999969482422	744,5999755859375	24,360000610351562	19,31999969482422	-127,0	-90	94	0,0	0,0	
31870	7	2021-03-01 12:39:00	2021-03-01 12:40:51	25,0	23,510000228881836	744,5999755859375	24,760000228881836	34,709999084472656	-127,0	-87	94	0,0	0,0	
31871	7	2021-03-01 12:39:00	2021-03-01 12:40:54	25,0	23,489999771118164	744,5999755859375	24,959999084472656	31,170000076293945	-127,0	-91	94	0,0	0,0	
31872	7	2021-03-01 12:39:00	2021-03-01 12:40:57	25,0	23,520000457763672	744,5999755859375	25,139999389648438	37,09000015258789	-127,0	-93	94	0,0	0,0	
31873	7	2021-03-01 12:39:00	2021-03-01 12:41:00	25,0	23,520000457763672	744,5999755859375	25,1299991607666	23,270000457763672	-127,0	-91	94	0,0	0,019999999552965164	
31861	7	2021-03-01 12:39:00	2021-03-01 12:40:24	25,0	23,559999465942383	744,5999755859375	24,420000076293945	7,590000152587891	-127,0	-88	94	0,0	0,0	
31860	7	2021-03-01 12:39:00	2021-03-01 12:40:18	25,0	23,549999237060547	744,5999755859375	24,459999084472656	7,900000095367432	-127,0	-88	94	0,0	0,0	
31859	7	2021-03-01 12:39:00	2021-03-01 12:40:15	25,0	23,549999237060547	744,5999755859375	24,510000228881836	10,720000267028809	-127,0	-88	94	0,0	0,0	
31858	7	2021-03-01 12:39:00	2021-03-01 12:40:14	25,0	24,190000534057617	745,4000244140625	24,520000457763672	13,789999961853027	-127,0	-80	94	0,0	0,0	
31857	7	2021-03-01 12:39:00	2021-03-01 12:40:09	25,25	23,969999313354492	745,0999755859375	24,479999542236328	7,519999980926514	-127,0	-87	94	0,0	0,0	
31855	7	2021-03-01 12:39:00	2021-03-01 12:40:06	25,25	23,979999542236328	745,0999755859375	24,450000762939453	6,880000114440918	-127,0	-90	94	0,0	0,0	
31854	7	2021-03-01 12:39:00	2021-03-01 12:40:05	25,25	24,010000228881836	745,0999755859375	24,459999084472656	6,579999923706055	-127,0	-90	94	0,0	0,0	
31862	7	2021-03-01 12:39:00	2021-03-01 12:40:27	25,0	23,579999923706055	744,5999755859375	24,43000030517578	9,050000190734863	-127,0	-83	94	0,0	0,0	
31863	7	2021-03-01 12:39:00	2021-03-01 12:40:30	25,0	23,579999923706055	744,5999755859375	24,459999084472656	8,010000228881836	-127,0	-82	94	0,0	0,0	
31864	7	2021-03-01 12:39:00	2021-03-01 12:40:33	25,0	23,579999923706055	744,5999755859375	24,450000762939453	9,220000267028809	-127,0	-82	94	0,0	0,0	
31865	7	2021-03-01 12:39:00	2021-03-01 12:40:36	25,0	23,56999969482422	744,5999755859375	24,420000076293945	8,300000190734863	-127,0	-82	94	0,0	0,0	
31882	7	2021-03-01 12:40:00	2021-03-01 12:41:24	25,0	23,479999542236328	744,5999755859375	24,649999618530273	13,029999732971191	-127,0	-99	94	0,0	0,33000001311302185	
31874	7	2021-03-01 12:40:00	2021-03-01 12:41:03	25,0	23,520000457763672	744,5999755859375	25,020000457763672	17,6200008392334	-127,0	-91	94	0,0	0,05999999865889549	
31875	7	2021-03-01 12:40:00	2021-03-01 12:41:06	25,0	23,510000228881836	744,5999755859375	24,90999984741211	12,399999618530273	-127,0	-91	94	0,0	0,07000000029802322	
31877	7	2021-03-01 12:40:00	2021-03-01 12:41:09	25,0	23,510000228881836	744,5999755859375	24,84000015258789	9,020000457763672	-127,0	-91	94	0,0	0,07000000029802322	
31878	7	2021-03-01 12:40:00	2021-03-01 12:41:14	25,0	23,5	744,5999755859375	24,760000228881836	8,329999923706055	-127,0	-101	94	0,0	0,0	
31879	7	2021-03-01 12:40:00	2021-03-01 12:41:15	25,0	23,479999542236328	744,5999755859375	24,719999313354492	9,569999694824219	-127,0	-91	94	0,0	2,5	
31880	7	2021-03-01 12:40:00	2021-03-01 12:41:18	25,0	23,469999313354492	744,5999755859375	24,68000030517578	10,970000267028809	-127,0	-99	94	0,0	0,4000000059604645	
31881	7	2021-03-01 12:40:00	2021-03-01 12:41:21	25,0	23,469999313354492	744,5999755859375	24,65999984741211	12,9399995803833	-127,0	-102	94	0,0	0,5600000023841858	
31883	7	2021-03-01 12:40:00	2021-03-01 12:41:27	25,0	23,510000228881836	744,5999755859375	24,649999618530273	13,109999656677246	-127,0	-96	94	0,0	0,05000000074505806	
31884	7	2021-03-01 12:40:00	2021-03-01 12:41:33	25,0	23,530000686645508	744,5999755859375	24,649999618530273	15,149999618530273	-127,0	-98	94	0,0	0,07000000029802322	
61820	7	2021-03-16 21:13:00	2021-03-16 21:14:05	23,25	22,40999984741211	751,2999877929688	22,549999237060547	47,810001373291016	25,0	-74	94	0,0	2,4100000858306885	
61824	7	2021-03-16 21:13:00	2021-03-16 21:14:17	23,5	22,59000015258789	751,2999877929688	22,700000762939453	47,709999084472656	22,25	-74	94	0,0	2,4100000858306885	
61823	7	2021-03-16 21:13:00	2021-03-16 21:14:14	23,25	22,540000915527344	751,2999877929688	22,649999618530273	47,77000045776367	22,25	-74	94	0,0	2,4200000762939453	
61822	7	2021-03-16 21:13:00	2021-03-16 21:14:11	23,25	22,489999771118164	751,2999877929688	22,6200008392334	47,65999984741211	22,25	-74	94	0,0	2,4200000762939453	
61821	7	2021-03-16 21:13:00	2021-03-16 21:14:08	23,25	22,450000762939453	751,2999877929688	22,579999923706055	47,59000015258789	22,18000030517578	-74	94	0,0	2,4200000762939453	
61878	7	2021-03-17 23:22:00	2021-03-17 23:23:34	20,5	19,899999618530273	753,2000122070312	20,06999969482422	52,790000915527344	-127,0	-110	94	0,0	0,0	
61879	7	2021-03-17 23:23:00	2021-03-17 23:24:12	21,0	19,93000030517578	752,7000122070312	20,489999771118164	57,220001220703125	-127,0	-115	94	0,0	0,8600000143051147	
61881	7	2021-03-17 23:24:00	2021-03-17 23:25:13	21,0	20,200000762939453	752,7000122070312	20,90999984741211	53,630001068115234	-127,0	-121	94	0,0	0,0	
61884	7	2021-03-17 23:25:00	2021-03-17 23:26:12	21,0	20,329999923706055	752,7000122070312	21,06999969482422	51,599998474121094	-127,0	-121	94	0,0	0,0	
61888	7	2021-03-17 23:26:00	2021-03-17 23:27:12	21,0	20,389999389648438	752,7000122070312	21,100000381469727	50,709999084472656	-127,0	-121	94	0,0	0,0	
61891	7	2021-03-17 23:27:00	2021-03-17 23:28:12	21,0	20,420000076293945	752,7000122070312	21,079999923706055	50,2400016784668	-127,0	-121	94	0,0	0,0	
61894	7	2021-03-17 23:29:00	2021-03-17 23:30:12	21,0	20,479999542236328	752,7000122070312	21,020000457763672	51,81999969482422	-127,0	-118	94	0,0	0,0	
